三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称
MAZ25-4110,4.02,0.98,0.28,2.28,,2025/12/19 16:00,7.56,三亚分公司,三亚市正扬新材料有限公司
MAZ25-4212,1.01,0.1,0.53,0,,2025/12/19 16:00,1.64,三亚分公司,三亚汇鑫小额贷款有限责任公司
MAZ25-4161,5.23,0.09,-0.36,0,,2025/12/22 16:00,4.96,上海分公司,上海市高级人民法院
MBY25-3876,4.99,0.06,0,0,,2025/12/1 16:00,5.05,上海分公司,上海俞新房地产开发有限公司
MBY25-4065,1.14,3.16,0,0,,2025/12/12 16:00,4.3,上海分公司,中外合资上海兴生房地产实业有限公司
MAZ25-3415,3.03,3.19,0,32.99,,2025/12/16 16:00,39.21,上海分公司,上海龙旗智能科技有限公司
MBY25-3928,3,0.07,0.01,0,,2025/12/3 16:00,3.08,上海分公司,上海撼崴物业管理有限公司
MAZ25-3980,2.13,0.07,0.02,0,,2025/12/4 16:00,2.22,上海分公司,上海市高级人民法院
MAZ25-4257,0.22,0.91,0.04,0.07,,2025/12/24 16:00,1.24,上海分公司,上海龙旗智能科技有限公司
MAZ25-4244,2.16,0.03,0.06,0,,2025/12/24 16:00,2.25,上海分公司,上海复欣物业管理发展有限公司
MBY25-3999,1.09,0.07,0.1,0,,2025/12/4 16:00,1.26,上海分公司,上海复申机电设备有限公司
MAZ25-4049,1.06,0.91,0.1,0,,2025/12/9 16:00,2.07,上海分公司,浙江舜杰建筑集团股份有限公司
MAZ25-4242,1.25,0.06,0.36,0,,2025/12/23 16:00,1.67,上海分公司,上海宝苑华盈房地产有限公司
MAZ25-4150,6.09,0.22,0.37,0,,2025/12/22 16:00,6.68,上海分公司,上海新世界股份有限公司
MAZ25-3735,6.31,2.91,0.39,1.1,,2025/11/28 16:00,10.71,上海分公司,上海金桥出口加工区南区开发建设有限
MAZ25-3813,7.28,0.04,0.43,0,,2025/11/28 16:00,7.75,上海分公司,上海临港新片区金港东九置业有限公司
MAZ25-3896,2.08,0.12,0.62,3.12,,2025/12/3 16:00,5.94,上海分公司,上海宝苑华盈房地产有限公司
MAZ25-3840,4.3,0.67,10.9,0.13,,2025/12/12 16:00,16,上海分公司,浙江舜杰建筑集团股份有限公司
MAZ25-3995,5.2,3.03,2.02,1.06,,2025/12/18 16:00,11.31,上海分公司,上海卫菱电梯工程有限公司
MAZ25-4180,1.31,0.66,2.31,0.03,,2025/12/22 16:00,4.31,上海分公司,上海万科物业服务有限公司
MAZ25-3251,1.2,0.89,29.44,2.15,,2025/11/28 16:00,33.68,上海分公司,上海金桥（集团）有限公司
MAZ25-4133,0.15,5.05,0,0,,2025/12/18 16:00,5.2,东莞分公司,广东冠菱机电工程有限公司
MAZ25-4151,6.12,0.14,0.03,0,,2025/12/22 16:00,6.29,东莞分公司,中国建筑第五工程局有限公司
MAZ25-4075,4.1,2.99,0.1,0,,2025/12/17 16:00,7.19,东莞分公司,余安东5003****0015
MAZ25-4115,5.25,0.01,0.68,2.99,,2025/12/22 16:00,8.93,东莞分公司,东莞市盛和置业有限公司
MAZ25-4116,2.32,1.58,0,0,,2025/12/15 16:00,3.9,中山分公司,中山市金乐房地产开发有限公司
MAZ25-4114,0.14,0.86,0.01,0,,2025/12/10 16:00,1.01,中山分公司,广东菱电电梯有限公司
MAZ25-4213,4.25,0.03,0,0,,2025/12/24 16:00,4.28,乐山分公司,眉山药科职业学院
MBY25-4077,1.09,0.19,0,1.81,,2025/12/11 16:00,3.09,乐山分公司,乐山余峰酒店管理有限公司
MBY25-4227,0.28,0.67,0,0,,2025/12/19 16:00,0.95,乐山分公司,乐山余峰酒店管理有限公司
MBY25-3927,4.33,0.75,0,0,,2025/12/4 16:00,5.08,佛山分公司,佛山市海业投资发展有限公司
MAZ25-4228,3.24,0.02,0,0,,2025/12/24 16:00,3.26,内蒙古分公司,辽宁岍易电梯有限公司
MAZ25-4079,11.14,1.08,0,0,,2025/12/24 16:00,12.22,内蒙古分公司,内蒙古兴原电梯销售有限公司
MAZ25-4031,6.02,0.03,0,0,,2025/12/12 16:00,6.05,北京分公司,北京金程瑞菱电梯有限公司
MBY25-4219,0.07,0.05,0,0,,2025/12/18 16:00,0.12,北京分公司,人民大会堂管理局
MBY25-4003,1.15,0.05,0,0,,2025/12/4 16:00,1.2,北京分公司,北京兴嘉建设工程有限公司
MBY25-4000,1.15,0.05,0,0.04,,2025/12/4 16:00,1.24,北京分公司,北京联茂方泰房地产开发有限公司
MAZ25-4138,0,0.05,0,6.98,,2025/12/22 16:00,7.03,北京分公司,北京中豪机电设备工程有限公司
MAZ25-3871,4.07,0.06,0,0,,2025/11/28 16:00,4.13,北京分公司,北京莱茵西奥电梯有限公司
MAZ25-4155,4.14,0.06,0,0,,2025/12/18 16:00,4.2,北京分公司,广东菱电电梯有限公司
MAZ25-4183,3.04,0.07,0,2.1,,2025/12/23 16:00,5.21,北京分公司,北京中豪机电设备工程有限公司
MAZ25-3855,7.02,0.08,0,0,,2025/12/2 16:00,7.1,北京分公司,北京国药天元物业管理有限公司
MAZ25-3846,5.3,0.67,0,0,,2025/11/28 16:00,5.97,北京分公司,北京中豪机电设备工程有限公司
MBY25-4188,0.3,0.69,0,0,,2025/12/17 16:00,0.99,北京分公司,人民大会堂管理局
MAZ25-4104,2.33,0.72,0,4.2,,2025/12/18 16:00,7.25,北京分公司,北京中豪机电设备工程有限公司
MBY25-3929,1.23,0.78,0,0,,2025/12/1 16:00,2.01,北京分公司,北京联茂方泰房地产开发有限公司
MAZ25-4033,0.32,0.78,0,0.91,,2025/12/8 16:00,2.01,北京分公司,北京中豪机电设备工程有限公司
MBY25-4082,2.19,2.1,0.06,0.85,,2025/12/15 16:00,5.2,北京分公司,北京联茂方泰房地产开发有限公司
MBY25-4045,2.02,0.22,0.11,3.86,,2025/12/15 16:00,6.21,北京分公司,北京联茂方泰房地产开发有限公司
MBY25-4061,0.99,0.15,0,0.81,,2025/12/9 16:00,1.95,南通分公司,南通铭菱电梯安装有限公司
MBY25-4223,1.1,0.09,0.17,1.65,,2025/12/23 16:00,3.01,南通分公司,南通铭菱电梯安装有限公司
MAZ25-4043,2.01,0.02,0,0.19,,2025/12/9 16:00,2.22,厦门分公司,中建一局集团东南建设有限公司
MAZ25-4011,6.07,0.02,0,0.94,,2025/12/12 16:00,7.03,厦门分公司,厦门御宾物业服务有限公司
MAZ25-3982,1.12,0.06,0,0,,2025/12/3 16:00,1.18,厦门分公司,中建一局集团东南建设有限公司
MAZ25-3981,5.12,0.07,0,0,,2025/12/9 16:00,5.19,厦门分公司,中建一局集团东南建设有限公司
MAZ25-4234,0.28,0.78,0,0,,2025/12/22 16:00,1.06,厦门分公司,漳州市致景房地产开发有限公司
MAZ25-4029,2.21,0.01,0.01,0,,2025/12/8 16:00,2.23,厦门分公司,漳州市励欧房地产开发有限公司
MAZ25-4052,4.13,0.13,0.01,0.73,,2025/12/12 16:00,5,厦门分公司,厦门御宾物业服务有限公司
MAZ25-3987,8.33,0.63,0,1.08,,2025/12/16 16:00,10.04,台州分公司,鑫泰酒店开发（温岭）有限公司
MBY25-3962,1.29,0.75,0,0,,2025/12/3 16:00,2.04,台州分公司,天颂建设集团有限公司台州湾新区分公
MBY25-4269,0.02,0.98,0,0,,2025/12/25 16:00,1,台州分公司,国强建设集团有限公司
MBY25-3964,0.98,0.03,0.03,0,,2025/12/2 16:00,1.04,台州分公司,台州黄岩方远嘉誉置业有限公司
MBY25-3951,3.99,0.02,0,2.26,,2025/12/9 16:00,6.27,吉林分公司,吉林市恒阳大饭店有限责任公司
MBY25-4258,1.26,0.78,0,0,,2025/12/25 16:00,2.04,吉林分公司,溧阳市飞达电梯安装工程有限公司
MBY25-4027,6.07,0.02,0,0.17,,2025/12/12 16:00,6.26,嘉兴分公司,嘉兴市地方税务局
MBY25-4001,1.18,0.03,0,0,,2025/12/4 16:00,1.21,嘉兴分公司,湖州菱奥电梯有限公司
MBY25-3961,1.99,0.03,0,0.07,,2025/12/3 16:00,2.09,嘉兴分公司,嘉兴市地方税务局
MAZ25-4038,1.25,0.05,0,0,,2025/12/8 16:00,1.3,嘉兴分公司,振石集团巨成置业有限公司
MBY25-4078,1.02,0.21,0,0,,2025/12/9 16:00,1.23,嘉兴分公司,浙江恒力建设有限公司
MAZ25-3920,1.12,0.11,0.01,0,,2025/11/28 16:00,1.24,嘉兴分公司,浙江凯通商业管理有限公司
MAZ25-3984,2.02,0.04,0.03,0,,2025/12/4 16:00,2.09,嘉兴分公司,嘉兴市天南电梯有限公司
MBY25-4010,10.98,0.08,0,0,,2025/12/18 16:00,11.06,四川分公司,四川智菱机电设备安装有限公司
MAZ25-4186,0.03,0.97,0,0,,2025/12/17 16:00,1,天津分公司,天津御龙机电工程有限公司
MAZ25-3703,10.2,1.85,0.01,0,,2025/11/28 16:00,12.06,天津分公司,天津市瑞鑫机电工程技术有限公司
MAZ25-4005,2.33,0.71,0.05,0,,2025/12/8 16:00,3.09,天津分公司,天津市瑞鑫机电工程技术有限公司
MBY25-4247,2.22,0.84,0.02,0,,2025/12/25 16:00,3.08,宁波分公司,得力房地产有限公司
MBY25-4030,2.06,0.99,0.06,0,,2025/12/9 16:00,3.11,宁波分公司,得力房地产有限公司
MAZ25-4179,5.32,0.77,0.1,1.14,,2025/12/25 16:00,7.33,宁波分公司,浙江中奥电梯有限公司
MBY25-3959,5.98,0.01,0.11,0,,2025/12/9 16:00,6.1,宁波分公司,得力房地产有限公司
MAZ25-3883,5.03,0.22,0.7,0,,2025/12/2 16:00,5.95,宁波分公司,宁波华懋设备安装有限公司
MBY25-3903,2.06,0.2,0,0,,2025/11/28 16:00,2.26,宜昌分公司,宜昌菱重电梯有限公司
MBY25-4135,4.01,0.08,0.01,0,,2025/12/17 16:00,4.1,山东分公司,山东融翔产业投资有限公司
MAZ25-4152,2.19,0.03,0.02,0,,2025/12/16 16:00,2.24,山东分公司,山东高速德建建筑科技股份有限公司
MAZ25-4076,3.27,2.96,0.03,0,,2025/12/16 16:00,6.26,山东分公司,山东融翔产业投资有限公司
MAZ25-3963,5.26,0.03,0.81,2.94,,2025/12/12 16:00,9.04,山东分公司,山东诚隆机电设备有限公司
MAZ25-3884,1.12,2.17,0,10.53,,2025/12/12 16:00,13.82,山西分公司,山西兴申三菱电梯销售安装有限公司
MAZ25-4267,-0.02,0.22,0.01,0,,2025/12/24 16:00,0.21,常州分公司,溧阳华创电梯有限公司
MAZ25-3811,6.29,0.91,0.64,0,,2025/11/28 16:00,7.84,常州分公司,江苏百都上海三菱电梯特约销售有限公
MAZ25-4050,3,1,0,0.03,,2025/12/11 16:00,4.03,常德分公司,奥峰电梯有限公司
MAZ25-4168,1.19,0.02,0,0,,2025/12/16 16:00,1.21,广东分公司,广东中远电梯工程有限公司
MAZ25-4118,0.29,0.69,0,2.28,,2025/12/15 16:00,3.26,广东分公司,广州市永恒电梯有限公司
MBY25-4070,4.04,0.2,0.01,0,,2025/12/12 16:00,4.25,广东分公司,上海恒翔电梯工程有限公司
MAZ25-3767,0.25,2.68,0.03,9.1,,2025/12/3 16:00,12.06,广东分公司,广州正菱电梯销售服务有限公司
MAZ25-3768,1.01,2.92,0.03,16.11,,2025/12/15 16:00,20.07,广东分公司,广州正菱电梯销售服务有限公司
MBY25-4095,0.21,0.75,0.04,0,,2025/12/9 16:00,1,广东分公司,广州申菱电梯工程有限公司
MAZ25-4147,5.29,0.69,0.69,0.29,,2025/12/22 16:00,6.96,广东分公司,广州市永恒电梯有限公司
MAZ25-4144,7.05,0.2,0.73,0,,2025/12/23 16:00,7.98,广东分公司,广州市永恒电梯有限公司
MBY25-4128,2.02,0.92,0,0,,2025/12/15 16:00,2.94,广西分公司,深圳领潮供应链管理有限公司
MBY25-3942,1.19,0.76,0.01,0,,2025/12/2 16:00,1.96,惠州分公司,惠州市世纪华廷置地有限公司
MAZ25-4032,2.25,0.06,0.04,0.66,,2025/12/9 16:00,3.01,惠州分公司,广东省林润时代城有限公司
MAZ25-3755,3.23,0.98,0.07,1.91,,2025/11/26 16:00,6.19,惠州分公司,惠州市智慧城市建筑产业有限公司
MAZ25-4239,0.26,0.63,0.07,0,,2025/12/22 16:00,0.96,新疆分公司,乌鲁木齐康尼楼宇设备有限公司
MAZ25-3915,1.21,0.74,0.07,0.97,,2025/12/1 16:00,2.99,新疆分公司,乌鲁木齐康尼楼宇设备有限公司
MAZ25-3907,3.02,0.03,0.11,5.98,,2025/12/9 16:00,9.14,新疆分公司,新疆星奥电梯有限公司
MAZ25-4207,3.2,0.01,0.81,0,,2025/12/23 16:00,4.02,无锡分公司,无锡捷密电梯科技有限公司
MAZ25-4162,5.24,-0.3,-1,0,,2025/12/22 16:00,3.94,汕头分公司,广州市永恒电梯有限公司
MBY25-3979,0.13,0.11,0,0,,2025/12/2 16:00,0.24,汕头分公司,汕头市中冠房地产开发有限公司
MAZ25-3916,4.31,0.69,0,0,,2025/12/3 16:00,5,汕头分公司,广东菱越电梯有限公司
MBY25-3989,2.22,0.84,0,13.91,,2025/12/25 16:00,16.97,汕头分公司,广东中玺科技有限公司
MAZ25-4159,2.14,0.08,-0.11,0.09,,2025/12/17 16:00,2.2,江苏分公司,江苏海菱机电设备工程有限公司
MBY25-3965,4.99,0.02,0,0,,2025/12/8 16:00,5.01,江苏分公司,扬州中菱电梯安装有限公司
MAZ25-3680,4.27,0.69,0,13.12,,2025/12/4 16:00,18.08,江苏分公司,南京世茂新领航置业有限公司
MAZ25-3904,8.99,0.02,0.01,5.24,,2025/12/16 16:00,14.26,江苏分公司,江苏东石机电工程有限公司
MAZ25-4198,0.1,0.17,0.01,0,,2025/12/17 16:00,0.28,江苏分公司,江苏万恒机电有限公司
MBY25-3878,1.24,1.01,0.01,2.72,,2025/12/1 16:00,4.98,江苏分公司,江苏海菱机电设备工程有限公司
MAZ25-4233,1.11,0.99,0.07,0,,2025/12/23 16:00,2.17,江苏分公司,江苏中梯联电梯工程有限公司
MAZ25-4046,1.32,0.73,0.16,0,,2025/12/9 16:00,2.21,江苏分公司,扬州宏新房地产开发有限公司
MAZ25-4037,2.23,0.08,0.55,0,,2025/12/9 16:00,2.86,江苏分公司,江苏万恒机电有限公司
MBY25-4172,5.02,0.02,0,0,,2025/12/22 16:00,5.04,江西分公司,江西亚菱电梯有限公司
MAZ25-4187,0.3,0.69,0,0,,2025/12/17 16:00,0.99,江西分公司,江西省上海三菱电梯特约销售安装有限
MAZ25-3865,13,0.03,0,7.19,,2025/12/22 16:00,20.22,沧州分公司,河北乐恒节能设备有限公司
MAZ25-3787,8.07,2.18,0,0,,2025/12/2 16:00,10.25,河北分公司,张家口寰慧房地产开发有限公司
