三包流水号,总部制造发运时间,总部审核处置时间,分公司审核提交时间,补充调查时间,分公司现场调查时间,发运时间,全周期统计时间,提出部门,客户名称,类型
MAZ25-3763,2.12,0.12,0.83,0,,2025/11/20 16:00,3.07,三亚分公司,三亚市正扬新材料有限公司,非基板
MBY25-3748,3.02,-0.21,-0.85,0,,2025/11/20 16:00,1.96,上海分公司,上海俞新房地产开发有限公司,基板
MBY25-3655,0.29,0.01,0,8.78,,2025/11/20 16:00,9.08,上海分公司,宝钢特钢有限公司,非基板
MBY25-3464,11.07,0.02,0,0,,2025/11/11 16:00,11.09,上海分公司,上海金桥出口加工区南区开发建设有限,#N/A
MBY25-3584,5.26,0.03,0,0,,2025/11/11 16:00,5.29,上海分公司,上海英家皇道物业管理服务有限公司,非基板
MBY25-3557,3.21,0.06,0,0,,2025/11/5 16:00,3.27,上海分公司,宝钢特钢有限公司,#N/A
MBY25-3631,6.16,0.06,0,0,,2025/11/14 16:00,6.22,上海分公司,上海万科物业服务有限公司,非基板
MBY25-3721,-0.01,0.07,0,0,,2025/11/13 16:00,0.06,上海分公司,上海东郊宾馆有限公司,非基板
MAZ25-3376,4.13,0.16,0,10.86,,2025/11/10 16:00,15.15,上海分公司,上海金贤电梯工程有限公司,非基板
MBY25-3541,4.05,0.18,0,0,,2025/11/5 16:00,4.23,上海分公司,上海金桥出口加工区联合发展有限公司,非基板
MAZ25-3495,0.24,0.75,0,0,,2025/10/28 16:00,0.99,上海分公司,上海宝苑华盈房地产有限公司,#N/A
MBY25-3722,1.02,1.03,0,0,,2025/11/17 16:00,2.05,上海分公司,上海东郊宾馆有限公司,基板
MAZ25-3609,3.08,1.88,0,1.06,,2025/11/12 16:00,6.02,上海分公司,上海复申机电设备有限公司,非基板
MAZ25-3416,2.27,3.93,0,0,,2025/10/30 16:00,6.2,上海分公司,上海曼诺电梯有限公司,#N/A
MBY25-3356,6.07,0.01,0.01,0,,2025/10/27 16:00,6.09,上海分公司,上海英家皇道物业管理服务有限公司,#N/A
MAZ25-3371,7.07,0.01,0.01,5.13,,2025/11/5 16:00,12.22,上海分公司,绿城电子商务有限公司,#N/A
MAZ25-3409,7.01,0.03,0.01,0,,2025/10/30 16:00,7.05,上海分公司,上海曼诺电梯有限公司,#N/A
MBY25-3444,3.28,0.74,0.01,0,,2025/10/29 16:00,4.03,上海分公司,上海建工七建集团有限公司,#N/A
MBY25-3560,6.26,0.99,0.01,0,,2025/11/11 16:00,7.26,上海分公司,宝钢特钢有限公司,非基板
MAZ25-3815,1.24,0.08,0.42,0,,2025/11/20 16:00,1.74,上海分公司,上海临港新片区金港东九置业有限公司,基板
MAZ25-3812,1.23,0.08,0.43,0,,2025/11/20 16:00,1.74,上海分公司,上海临港新片区金港盛元置业有限公司,基板
MAZ25-3814,1.14,0.08,0.43,0.1,,2025/11/20 16:00,1.75,上海分公司,上海临港新片区金港东九置业有限公司,基板
MAZ25-3650,2,0.17,0.82,0,,2025/11/12 16:00,2.99,上海分公司,上海圣骊物业管理有限公司,基板
MBY25-3463,0.07,0.02,0.96,0,,2025/10/27 16:00,1.05,上海分公司,上海东郊宾馆有限公司,#N/A
MAZ25-3737,1.2,0.03,1.97,0,,2025/11/20 16:00,3.2,上海分公司,上海猷嘉建筑工程有限公司,基板
MBY25-3581,6.21,0.73,0.25,0,,2025/11/12 16:00,7.19,临沂分公司,山东奥达菱电梯有限公司,基板
MAZ25-3247,0.09,0.77,0.38,0,,2025/10/27 16:00,1.24,临沂分公司,日照金菱电梯销售有限公司,#N/A
MAZ25-3654,1.22,0.81,0.05,0,,2025/11/11 16:00,2.08,云南分公司,云南三菱电梯工程有限公司,基板
MBY25-3470,3.05,0.02,0,0.13,,2025/10/29 16:00,3.2,佛山分公司,广东联塑科技实业有限公司,#N/A
MBY25-3589,1.08,0.17,0.01,1.79,,2025/11/6 16:00,3.05,佛山分公司,佛山市第二人民医院,基板
MBY25-3519,5.21,0.15,0.02,0.69,,2025/11/5 16:00,6.07,佛山分公司,佛山市第二人民医院,#N/A
MBY25-3521,5.18,0.09,0.02,6.75,,2025/11/13 16:00,12.04,内蒙古分公司,北京南方恒力电梯工程有限公司,基板
MBY25-3692,4.3,0.6,0.13,0,,2025/11/18 16:00,5.03,内蒙古分公司,北京南方恒力电梯工程有限公司,基板
MAZ25-3565,2.07,0.17,0.14,0.82,,2025/11/5 16:00,3.2,内蒙古分公司,上海志鹍工程安装有限公司,#N/A
MBY25-3691,4.3,0.6,0.15,0,,2025/11/18 16:00,5.05,内蒙古分公司,北京南方恒力电梯工程有限公司,基板
MAZ25-3426,5.3,0.01,0,0.76,,2025/10/30 16:00,6.07,北京分公司,新华房地产开发公司,#N/A
MAZ25-3665,4.28,0.02,0,0,,2025/11/14 16:00,4.3,北京分公司,北京北方上菱电梯工程有限公司,非基板
MBY25-3760,2.04,0.05,0,0,,2025/11/19 16:00,2.09,北京分公司,财政部机关服务中心（财政部机关服务,基板
MAZ25-3759,1.04,0.08,0,0.99,,2025/11/19 16:00,2.11,北京分公司,北京中豪机电设备工程有限公司,基板
MAZ25-3742,3.99,0.09,0,0,,2025/11/20 16:00,4.08,北京分公司,北京北方上菱电梯工程有限公司,非基板
MAZ25-3628,3,0.28,0,0,,2025/11/11 16:00,3.28,北京分公司,人民大会堂管理局,非基板
MAZ25-3659,6.3,0.68,0,0,,2025/11/18 16:00,6.98,北京分公司,北京康华国联机电设备有限公司,非基板
MAZ25-3551,1.21,0.78,0,0,,2025/11/3 16:00,1.99,北京分公司,人民大会堂管理局,#N/A
MBY25-3630,4.25,0.98,0,0,,2025/11/13 16:00,5.23,北京分公司,北京联茂方泰房地产开发有限公司,基板
MAZ25-3381,11.05,2.03,0,0,,2025/11/6 16:00,13.08,北京分公司,人民大会堂管理局,#N/A
MAZ25-3702,3.1,0.02,0.01,0,,2025/11/17 16:00,3.13,北京分公司,怡筑新建筑（上海）有限公司,非基板
MAZ25-3771,1.04,0.08,0.01,0.9,,2025/11/19 16:00,2.03,北京分公司,北京康华国联机电设备有限公司,基板
MAZ25-3657,3.22,0.76,0.04,0,,2025/11/13 16:00,4.02,北京分公司,北京兴嘉建设工程有限公司,基板
MAZ25-3394,3.29,0.01,0.08,1.92,,2025/10/28 16:00,5.3,北京分公司,北京中豪机电设备工程有限公司,#N/A
MAZ25-3413,8.07,0.02,0.01,0.12,,2025/11/3 16:00,8.22,南通分公司,南通铭菱电梯安装有限公司,#N/A
MBY25-3379,3.16,0.12,0.01,4.83,,2025/10/30 16:00,8.12,南通分公司,南通晖振置业有限公司,#N/A
MBY25-3377,2.14,0.13,0.01,4.84,,2025/10/29 16:00,7.12,南通分公司,南通晖振置业有限公司,#N/A
MAZ25-3351,4.26,0.83,0,0.99,,2025/10/27 16:00,6.08,厦门分公司,漳州市致景房地产开发有限公司,#N/A
MAZ25-2861,1,0.83,0,2.21,,2025/11/24 16:00,4.04,厦门分公司,厦门御宾物业服务有限公司,#N/A
MAZ25-3504,9.19,1.09,0,0,,2025/11/11 16:00,10.28,厦门分公司,厦门御宾物业服务有限公司,#N/A
MAZ25-3727,0.3,2.76,0,0,,2025/11/18 16:00,3.06,厦门分公司,中建一局集团东南建设有限公司,非基板
MAZ25-2860,1,0.95,0.01,0,,2025/11/24 16:00,1.96,厦门分公司,厦门御宾物业服务有限公司,#N/A
MAZ25-3598,3.03,0.21,0,0,,2025/11/7 16:00,3.24,台州分公司,国强建设集团有限公司,非基板
MAZ25-3469,3.2,0.01,0.03,0,,2025/10/29 16:00,3.24,台州分公司,台州黄岩方远嘉誉置业有限公司,#N/A
MAZ25-3562,6.29,0.92,0.04,0,,2025/11/11 16:00,7.25,台州分公司,国强建设集团有限公司,非基板
MAZ25-3524,1.21,0.03,0,0,0.73,2025/10/30 16:00,1.97,嘉兴分公司,湖州宁卓置业有限公司,#N/A
MAZ25-3537,1.98,0.06,0,0,,2025/10/31 16:00,2.04,嘉兴分公司,嘉兴市天南电梯有限公司,#N/A
MBY25-3658,3.12,0.09,0,0.8,,2025/11/13 16:00,4.01,嘉兴分公司,嘉兴市地方税务局,基板
MAZ25-3370,6.24,1.02,0,0,,2025/10/29 16:00,7.26,四川分公司,上海双菱电梯工程有限公司,#N/A
MBY25-3695,0.09,0.2,0.57,0,,2025/11/12 16:00,0.86,四川分公司,成都润扬城南置业有限公司,非基板
MAZ25-3392,5.27,0.01,0,1.02,,2025/10/29 16:00,6.3,天津分公司,天津嘉里房地产开发有限公司,#N/A
MAZ25-3708,-0.01,0.03,0,0,,2025/11/12 16:00,0.02,天津分公司,天津市瑞鑫机电工程技术有限公司,非基板
MAZ25-3517,2.02,0.05,0.01,0,,2025/10/30 16:00,2.08,宁波分公司,宁波华懋设备安装有限公司,#N/A
MBY25-3468,0.28,0.69,0.25,0,,2025/10/27 16:00,1.22,宁波分公司,宁波国信楼宇设备有限公司,#N/A
MAZ25-3492,6.13,0.12,0.76,0,,2025/11/5 16:00,7.01,宁波分公司,浙江明溢建设有限公司,#N/A
MAZ25-3637,0.08,1.01,1.04,0,,2025/11/10 16:00,2.13,宁波分公司,得力房地产有限公司,非基板
MBY25-3592,5.26,0.7,0,0,,2025/11/11 16:00,5.96,安徽分公司,合肥国轩科宏新能源科技有限公司,非基板
MBY25-3500,9.12,0.04,0,1.05,,2025/11/11 16:00,10.21,安阳分公司,濮阳市正荣房地产开发有限公司华龙区,#N/A
MBY25-3710,0.31,0.67,0,0,,2025/11/13 16:00,0.98,宜春分公司,江西人和房地产有限公司,非基板
MAZ25-3471,12.11,0.01,0.06,0,,2025/11/11 16:00,12.18,山东分公司,溧阳创立电梯有限公司,#N/A
MAZ25-3510,9.99,0,0,0.23,,2025/11/11 16:00,10.22,常州分公司,江苏百都上海三菱电梯特约销售有限公,#N/A
MAZ25-3512,1.24,0.98,0,0,,2025/10/30 16:00,2.22,常州分公司,江苏百都上海三菱电梯特约销售有限公,#N/A
MAZ25-3485,2.02,0.18,0.01,0,,2025/10/29 16:00,2.21,常州分公司,江苏百都上海三菱电梯特约销售有限公,#N/A
MAZ25-3497,1.21,0.74,0,0,,2025/10/29 16:00,1.95,广东分公司,白云宾馆有限公司,#N/A
MBY25-3682,2,0.07,0.1,4.84,,2025/11/19 16:00,7.01,广东分公司,广州禾美实业有限公司,基板
MAZ25-3670,3.28,1.83,0.14,0,,2025/11/17 16:00,5.25,广东分公司,广州市永恒电梯有限公司,非基板
MBY25-3559,1,0.04,0.22,7.01,,2025/11/12 16:00,8.27,广东分公司,广州广胜电子有限公司,基板
MBY25-3593,0.12,0.8,1.03,0,,2025/11/5 16:00,1.95,广东分公司,广州禾美实业有限公司,非基板
MBY25-3836,0.31,0.61,1.04,0.09,,2025/11/24 16:00,2.05,广东分公司,广州市城市规划勘测设计研究院有限公,非基板
MBY25-3484,0.05,0.03,1.08,2.08,,2025/10/30 16:00,3.24,广东分公司,广州苏菱电梯设备有限公司,非基板
MBY25-3480,3.99,0.04,3.23,0,,2025/11/5 16:00,7.26,广东分公司,广州苏菱电梯设备有限公司,#N/A
MAZ25-3730,3.02,0.02,0,0.98,,2025/11/19 16:00,4.02,惠州分公司,惠州市民泰担保有限公司,非基板
MBY25-3441,3.18,0.77,1.02,8.3,,2025/11/11 16:00,13.27,惠州分公司,惠州盈通投资有限公司,基板
MAZ25-3286,6.14,0.72,0,3.91,,2025/10/29 16:00,10.77,新疆分公司,乌鲁木齐康尼楼宇设备有限公司,#N/A
MAZ25-3610,2,1.87,0.11,0,,2025/11/10 16:00,3.98,新疆分公司,乌鲁木齐康尼楼宇设备有限公司,非基板
MAZ25-3603,0.11,0.76,0.33,0,,2025/11/5 16:00,1.2,新疆分公司,乌鲁木齐康尼楼宇设备有限公司,非基板
MBY25-3579,0.22,0.01,0,0,,2025/11/3 16:00,0.23,无锡分公司,江苏岩川机电设备工程有限公司,非基板
MAZ25-3461,11.31,0.01,0,0.98,,2025/11/11 16:00,12.3,无锡分公司,无锡市天骥电梯工程有限公司,#N/A
MAZ25-3383,6.98,0.07,0,0,,2025/10/29 16:00,7.05,柳州分公司,梧州市润梧建材商贸有限公司,#N/A
MAZ25-3530,11.22,0.04,0.02,0,,2025/11/13 16:00,11.28,柳州分公司,广西海联方冠投资有限公司,#N/A
MBY25-3321,10.13,0.83,0,0,,2025/10/30 16:00,10.96,桂林分公司,广东菱越电梯有限公司,#N/A
MBY25-3674,2.29,2.94,0,0,,2025/11/17 16:00,5.23,桂林分公司,广东菱越电梯有限公司,非基板
MAZ25-3777,1.11,0.12,0,0,,2025/11/19 16:00,1.23,汕头分公司,汕头市潮纳沛服装有限公司,基板
MAZ25-3538,4.05,0.91,0,0,,2025/11/5 16:00,4.96,汕头分公司,广东菱越电梯有限公司,非基板
MBY25-3532,6.27,0.96,0.02,2.01,,2025/11/11 16:00,9.26,汕头分公司,广东中玺科技有限公司,非基板
MAZ25-3582,0.08,0.05,0,0,,2025/11/3 16:00,0.13,江苏分公司,江苏百都上海三菱电梯特约销售有限公,非基板
MAZ25-3543,4.06,0.14,0,0,,2025/11/5 16:00,4.2,江苏分公司,江苏百都上海三菱电梯特约销售有限公,非基板
MAZ25-3718,5,0.28,0,0,,2025/11/20 16:00,5.28,江苏分公司,江苏东石机电工程有限公司,非基板
MAZ25-3443,7.14,0.07,0.02,0,,2025/11/3 16:00,7.23,江苏分公司,江苏东石机电工程有限公司,#N/A
MAZ25-3653,0.99,0.32,0.04,0.78,,2025/11/11 16:00,2.13,江苏分公司,江苏清和草堂文化产业发展有限公司,非基板
